"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"214",2,0,1,0,4,1,5,7,1,1,2,2,5,0
"215",2,0,1,1,3,1,2,7,1,1,1,1,5,0
"216",2,1,1,1,4,1,2,4,1,1,1,2,6,0
"217",2,1,1,0,4,1,2,8,1,2,1,1,6,0
"218",2,0,1,1,3,1,2,4,2,2,2,1,5,0
"219",1,1,0,0,4,0,5,8,2,1,1,3,5,0
"220",1,0,1,1,2,0,2,6,2,1,2,3,NA,0
"221",1,0,0,1,2,0,5,7,2,1,1,3,1,0
"222",1,1,0,1,3,0,2,6,2,1,1,2,NA,0
"223",1,1,0,0,3,0,5,2,2,1,1,3,NA,0
"224",1,1,1,0,1,0,5,5,1,2,1,1,NA,0
"225",1,1,0,1,3,0,2,9,1,2,1,2,NA,0
"226",1,1,0,0,3,0,5,8,1,1,1,3,NA,0
"227",1,1,1,1,2,0,2,8,1,1,1,2,NA,0
"228",1,1,0,1,2,0,2,4,2,1,1,2,5,0
"229",1,1,0,1,3,0,5,7,1,1,1,2,1,0
"230",1,1,0,1,1,0,2,7,2,1,1,3,1,0
"231",1,1,0,0,2,0,5,7,1,2,1,2,NA,0
"232",1,1,0,1,1,0,2,7,1,2,1,1,NA,0
"233",1,1,1,0,4,0,2,5,1,2,1,3,6,0
"234",1,1,1,1,3,0,5,10,2,1,1,2,5,0
"235",1,1,0,1,2,0,5,7,3,1,2,2,1,0
"236",1,0,1,1,3,0,5,7,2,1,1,1,5,0
"237",1,1,1,1,3,0,5,6,2,1,1,3,5,0
"238",1,1,1,1,4,0,2,7,2,1,1,1,5,0
"239",1,0,1,1,2,0,5,8,2,1,2,3,5,0
"240",1,0,0,1,2,0,5,8,2,1,1,4,5,0
"241",1,1,0,0,4,0,5,9,1,1,2,3,NA,0
"242",1,0,0,1,2,0,5,5,1,1,1,2,5,0
"243",1,0,0,1,3,0,5,7,1,1,2,2,5,0
"244",1,0,0,0,2,0,5,6,2,1,2,2,5,0
"245",1,0,1,0,2,0,5,5,1,1,2,3,1,0
"246",1,1,1,1,4,0,5,9,1,1,1,3,NA,0
"247",1,1,0,1,4,0,5,5,1,1,1,4,NA,0
